date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:56:46	57841/57841	---M--	200	added ('OK')	image/jpeg	etag:%225a185eda-e721%22	https://colorlib.com/etc/pato/images/our-menu-16.jpg	C:/Users/Njeimi%20Amal/Desktop/pi/Template/colorlib.com/etc/pato/images/our-menu-16.jpg	(from https://colorlib.com/etc/pato/index.html)
09:56:46	94648/94648	---M--	200	added ('OK')	image/jpeg	etag:%225a185ef0-176af%22	https://colorlib.com/etc/pato/images/bg-event-01.jpg	C:/Users/Njeimi%20Amal/Desktop/pi/Template/colorlib.com/etc/pato/images/bg-event-01.jpg	(from https://colorlib.com/etc/pato/index.html)
09:56:47	77563/77563	---M--	200	added ('OK')	image/jpeg	etag:%225a185ef2-1331c%22	https://colorlib.com/etc/pato/images/event-02.jpg	C:/Users/Njeimi%20Amal/Desktop/pi/Template/colorlib.com/etc/pato/images/event-02.jpg	(from https://colorlib.com/etc/pato/index.html)
09:56:47	151426/151426	---M--	200	added ('OK')	image/jpeg	etag:%225a185eed-24f82%22	https://colorlib.com/etc/pato/images/bg-event-02.jpg	C:/Users/Njeimi%20Amal/Desktop/pi/Template/colorlib.com/etc/pato/images/bg-event-02.jpg	(from https://colorlib.com/etc/pato/index.html)
09:56:47	82696/82696	---M--	200	added ('OK')	image/jpeg	etag:%225a185ee0-14d85%22	https://colorlib.com/etc/pato/images/event-06.jpg	C:/Users/Njeimi%20Amal/Desktop/pi/Template/colorlib.com/etc/pato/images/event-06.jpg	(from https://colorlib.com/etc/pato/index.html)
09:56:47	70988/70988	---M--	200	added ('OK')	image/jpeg	etag:%225a185ee4-1154c%22	https://colorlib.com/etc/pato/images/bg-event-04.jpg	C:/Users/Njeimi%20Amal/Desktop/pi/Template/colorlib.com/etc/pato/images/bg-event-04.jpg	(from https://colorlib.com/etc/pato/index.html)
09:56:48	76577/76577	---M--	200	added ('OK')	image/jpeg	etag:%225a185eee-1315e%22	https://colorlib.com/etc/pato/images/event-01.jpg	C:/Users/Njeimi%20Amal/Desktop/pi/Template/colorlib.com/etc/pato/images/event-01.jpg	(from https://colorlib.com/etc/pato/index.html)
09:56:48	121688/121688	---M--	200	added ('OK')	image/jpeg	etag:%225a185eda-1e56e%22	https://colorlib.com/etc/pato/images/booking-01.jpg	C:/Users/Njeimi%20Amal/Desktop/pi/Template/colorlib.com/etc/pato/images/booking-01.jpg	(from https://colorlib.com/etc/pato/index.html)
09:56:48	18310/18310	---M--	200	added ('OK')	image/jpeg	etag:%225a185ecf-4be2%22	https://colorlib.com/etc/pato/images/avatar-01.jpg	C:/Users/Njeimi%20Amal/Desktop/pi/Template/colorlib.com/etc/pato/images/avatar-01.jpg	(from https://colorlib.com/etc/pato/index.html)
09:56:48	19575/19575	---M--	200	added ('OK')	image/jpeg	etag:%225a185ec9-4f20%22	https://colorlib.com/etc/pato/images/avatar-04.jpg	C:/Users/Njeimi%20Amal/Desktop/pi/Template/colorlib.com/etc/pato/images/avatar-04.jpg	(from https://colorlib.com/etc/pato/index.html)
09:56:48	19796/19796	---M--	200	added ('OK')	image/jpeg	etag:%225a185ec6-50ce%22	https://colorlib.com/etc/pato/images/avatar-05.jpg	C:/Users/Njeimi%20Amal/Desktop/pi/Template/colorlib.com/etc/pato/images/avatar-05.jpg	(from https://colorlib.com/etc/pato/index.html)
09:56:49	225197/225197	---M--	200	added ('OK')	image/jpeg	etag:%225a185eca-37bc5%22	https://colorlib.com/etc/pato/images/bg-cover-video-02.jpg	C:/Users/Njeimi%20Amal/Desktop/pi/Template/colorlib.com/etc/pato/images/bg-cover-video-02.jpg	(from https://colorlib.com/etc/pato/index.html)
09:56:49	25424/25424	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Nov%202017%2018:02:34%20GMT	https://colorlib.com/etc/pato/blog-detail.html	C:/Users/Njeimi%20Amal/Desktop/pi/Template/colorlib.com/etc/pato/blog-detail.html	(from https://colorlib.com/etc/pato/index.html)
09:56:49	118208/118208	---M--	200	added ('OK')	image/jpeg	etag:%225a185ec2-1e5c1%22	https://colorlib.com/etc/pato/images/blog-01.jpg	C:/Users/Njeimi%20Amal/Desktop/pi/Template/colorlib.com/etc/pato/images/blog-01.jpg	(from https://colorlib.com/etc/pato/index.html)
09:56:49	81777/81777	---M--	200	added ('OK')	image/jpeg	etag:%225a185ec5-14762%22	https://colorlib.com/etc/pato/images/blog-02.jpg	C:/Users/Njeimi%20Amal/Desktop/pi/Template/colorlib.com/etc/pato/images/blog-02.jpg	(from https://colorlib.com/etc/pato/index.html)
09:56:50	94347/94347	---M--	200	added ('OK')	image/jpeg	etag:%225a185eca-17c15%22	https://colorlib.com/etc/pato/images/blog-03.jpg	C:/Users/Njeimi%20Amal/Desktop/pi/Template/colorlib.com/etc/pato/images/blog-03.jpg	(from https://colorlib.com/etc/pato/index.html)
09:56:50	125589/125589	---M--	200	added ('OK')	image/jpeg	etag:%225a185ee6-1ea95%22	https://colorlib.com/etc/pato/images/photo-gallery-04.jpg	C:/Users/Njeimi%20Amal/Desktop/pi/Template/colorlib.com/etc/pato/images/photo-gallery-04.jpg	(from https://colorlib.com/etc/pato/index.html)
09:56:51	32887/32887	---M--	200	added ('OK')	image/jpeg	etag:%225a185ee3-86b6%22	https://colorlib.com/etc/pato/images/photo-gallery-thumb-04.jpg	C:/Users/Njeimi%20Amal/Desktop/pi/Template/colorlib.com/etc/pato/images/photo-gallery-thumb-04.jpg	(from https://colorlib.com/etc/pato/index.html)
09:56:51	33113/33113	---M--	200	added ('OK')	image/jpeg	etag:%225a185ed5-87cb%22	https://colorlib.com/etc/pato/images/photo-gallery-thumb-08.jpg	C:/Users/Njeimi%20Amal/Desktop/pi/Template/colorlib.com/etc/pato/images/photo-gallery-thumb-08.jpg	(from https://colorlib.com/etc/pato/index.html)
09:56:51	111109/111109	---M--	200	added ('OK')	image/jpeg	etag:%225a185ece-1b205%22	https://colorlib.com/etc/pato/images/photo-gallery-08.jpg	C:/Users/Njeimi%20Amal/Desktop/pi/Template/colorlib.com/etc/pato/images/photo-gallery-08.jpg	(from https://colorlib.com/etc/pato/index.html)
09:56:52	63736/63736	---M--	200	added ('OK')	image/jpeg	etag:%225a185ee3-f8f8%22	https://colorlib.com/etc/pato/images/photo-gallery-12.jpg	C:/Users/Njeimi%20Amal/Desktop/pi/Template/colorlib.com/etc/pato/images/photo-gallery-12.jpg	(from https://colorlib.com/etc/pato/index.html)
09:56:52	18995/18995	---M--	200	added ('OK')	image/jpeg	etag:%225a185ee6-4c8f%22	https://colorlib.com/etc/pato/images/photo-gallery-thumb-12.jpg	C:/Users/Njeimi%20Amal/Desktop/pi/Template/colorlib.com/etc/pato/images/photo-gallery-thumb-12.jpg	(from https://colorlib.com/etc/pato/index.html)
09:56:52	8833/8833	---M--	200	added ('OK')	image/jpeg	etag:%225a185efc-25c9%22	https://colorlib.com/etc/pato/images/icons/video-16-9.jpg	C:/Users/Njeimi%20Amal/Desktop/pi/Template/colorlib.com/etc/pato/images/icons/video-16-9.jpg	(from https://colorlib.com/etc/pato/index.html)
09:56:52	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%225cdb0d1a-4d7%22	https://colorlib.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/Users/Njeimi%20Amal/Desktop/pi/Template/colorlib.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://colorlib.com/etc/pato/index.html)
09:56:53	86659/86659	---MCZ	200	added ('OK')	application/javascript	etag:W/%225a185f3d-15283%22	https://colorlib.com/etc/pato/vendor/jquery/jquery-3.2.1.min.js	C:/Users/Njeimi%20Amal/Desktop/pi/Template/colorlib.com/etc/pato/vendor/jquery/jquery-3.2.1.min.js	(from https://colorlib.com/etc/pato/index.html)
09:56:53	5615/5615	---MCZ	200	added ('OK')	application/javascript	etag:W/%225a1860bc-15ef%22	https://colorlib.com/etc/pato/vendor/animsition/js/animsition.min.js	C:/Users/Njeimi%20Amal/Desktop/pi/Template/colorlib.com/etc/pato/vendor/animsition/js/animsition.min.js	(from https://colorlib.com/etc/pato/index.html)
09:56:53	81670/81670	---MCZ	200	added ('OK')	application/javascript	etag:W/%225a1860c7-13f06%22	https://colorlib.com/etc/pato/vendor/bootstrap/js/popper.js	C:/Users/Njeimi%20Amal/Desktop/pi/Template/colorlib.com/etc/pato/vendor/bootstrap/js/popper.js	(from https://colorlib.com/etc/pato/index.html)
09:56:53	51143/51143	---MCZ	200	added ('OK')	application/javascript	etag:W/%225a1860c8-c7c7%22	https://colorlib.com/etc/pato/vendor/bootstrap/js/bootstrap.min.js	C:/Users/Njeimi%20Amal/Desktop/pi/Template/colorlib.com/etc/pato/vendor/bootstrap/js/bootstrap.min.js	(from https://colorlib.com/etc/pato/index.html)
09:56:54	66664/66664	---MCZ	200	added ('OK')	application/javascript	etag:W/%225a185f44-10468%22	https://colorlib.com/etc/pato/vendor/select2/select2.min.js	C:/Users/Njeimi%20Amal/Desktop/pi/Template/colorlib.com/etc/pato/vendor/select2/select2.min.js	(from https://colorlib.com/etc/pato/index.html)
09:56:54	46645/46645	---MCZ	200	added ('OK')	application/javascript	etag:W/%225a185f41-b635%22	https://colorlib.com/etc/pato/vendor/daterangepicker/moment.min.js	C:/Users/Njeimi%20Amal/Desktop/pi/Template/colorlib.com/etc/pato/vendor/daterangepicker/moment.min.js	(from https://colorlib.com/etc/pato/index.html)
