Antecedent;Consequent
 Fruchtsaft frisch|  Proz. Rabatt/Aufschl.|  Tagessuppe a 0,30 ;" Risotto ""Brunoise"" mit Bulgur und Putenbruststreifen    "
" Fruchtsaft frisch|  Risotto ""Brunoise"" mit Bulgur und Putenbruststreifen |  Tagessuppe a 0,30 "; Proz. Rabatt/Aufschl.   
 Proz. Rabatt/Aufschl.|  Schankgetränke ; Gericht frei|  Salat Port.  0,60| 
 Salat Port.  0,60|  Schankgetränke ; Gericht frei   
 Gericht frei|  Proz. Rabatt/Aufschl.|  Schankgetränke ; Salat Port.  0,60   
 Gericht frei|  Salat Port.  0,60|  Schankgetränke ; Proz. Rabatt/Aufschl.   
 Proz. Rabatt/Aufschl.|  Salat Port.  0,60|  Schankgetränke ; Gericht frei   
 O-Saft frisch|  Proz. Rabatt/Aufschl. ; Breze 0,65|  SalatTeller| 
 Breze 0,65|  O-Saft frisch|  Proz. Rabatt/Aufschl. ; SalatTeller   
 Breze 0,65|  O-Saft frisch|  SalatTeller ; Proz. Rabatt/Aufschl.   
 O-Saft frisch|  Proz. Rabatt/Aufschl.|  SalatTeller ; Breze 0,65   
 Breze 0,65|  Proz. Rabatt/Aufschl. ; SalatTeller   
 Gericht frei|  Proz. Rabatt/Aufschl. ; Salat Port.  0,60   
 Proz. Rabatt/Aufschl.|  Salat Port.  0,60 ; Gericht frei   
 Gericht frei|  Proz. Rabatt/Aufschl.|  Tagessuppe a 0,30 ; Salat Port.  0,60   
 Proz. Rabatt/Aufschl.|  Salat Port.  0,60|  Tagessuppe a 0,30 ; Gericht frei   
 Salat Schale|  Semmeln ; Dessert a 1,60   
 Schankgetränke|  Semmeln ; Dessert a 1,60|  Salat Schale| 
 Dessert a 1,60|  Schankgetränke ; Salat Schale|  Semmeln| 
 Dessert a 1,60|  Salat Schale|  Schankgetränke ; Semmeln   
 Dessert a 1,60|  Salat Schale|  Semmeln ; Schankgetränke   
 Dessert a 1,60|  Schankgetränke|  Semmeln ; Salat Schale   
 Salat Schale|  Schankgetränke|  Semmeln ; Dessert a 1,60   
 BeiwerkTeller|  Schankgetränke ; Salat Schale|  SalatTeller| 
 SalatTeller|  Schankgetränke ; BeiwerkTeller|  Salat Schale| 
 BeiwerkTeller|  Salat Schale|  SalatTeller ; Schankgetränke   
 BeiwerkTeller|  Salat Schale|  Schankgetränke ; SalatTeller   
 BeiwerkTeller|  SalatTeller|  Schankgetränke ; Salat Schale   
 Salat Schale|  SalatTeller|  Schankgetränke ; BeiwerkTeller   
 Beilage a 0,45|  Molkereiprodukte 0,25 ; Salat Port.  0,60   
 Molkereiprodukte 0,25|  Salat Schale ;" Risotto ""Brunoise"" mit Bulgur und Putenbruststreifen |  Suppe 1,00| "
 Molkereiprodukte 0,25|  Suppe 1,00 ;" Risotto ""Brunoise"" mit Bulgur und Putenbruststreifen |  Salat Schale| "
" Molkereiprodukte 0,25|  Risotto ""Brunoise"" mit Bulgur und Putenbruststreifen  "; Salat Schale|  Suppe 1,00| 
" Molkereiprodukte 0,25|  Risotto ""Brunoise"" mit Bulgur und Putenbruststreifen |  Salat Schale "; Suppe 1,00   
" Molkereiprodukte 0,25|  Risotto ""Brunoise"" mit Bulgur und Putenbruststreifen |  Suppe 1,00 "; Salat Schale   
 Molkereiprodukte 0,25|  Salat Schale|  Suppe 1,00 ;" Risotto ""Brunoise"" mit Bulgur und Putenbruststreifen    "
 Klassik Semmel 0,30|  Semmeln ; Dessert a 1,60|  SalatTeller| 
 Dessert a 1,60|  Klassik Semmel 0,30|  Semmeln ; SalatTeller   
 Dessert a 1,60|  SalatTeller|  Semmeln ; Klassik Semmel 0,30   
 Klassik Semmel 0,30|  SalatTeller|  Semmeln ; Dessert a 1,60   
 BeiwerkTeller|  Semmeln ; Tagessuppe a 0,30   
 BeiwerkTeller|  Tagessuppe a 0,30 ; Semmeln   
 Semmeln|  Suppe 1,00 ; Tagessuppe a 0,30   
 BeiwerkTeller|  Salat Port.  0,60 ; SalatTeller   
 Breze 0,65|  Fixer Rabatt/Aufschl. ; Dessert a 1,60|  SalatTeller| 
 Breze 0,65|  Dessert a 1,60|  Fixer Rabatt/Aufschl. ; SalatTeller   
 Breze 0,65|  Dessert a 1,60|  SalatTeller ; Fixer Rabatt/Aufschl.   
 Breze 0,65|  Fixer Rabatt/Aufschl.|  SalatTeller ; Dessert a 1,60   
 Fixer Rabatt/Aufschl.|  Gericht frei ; Suppe 1,00   
 Fixer Rabatt/Aufschl.|  Suppe 1,00 ; Gericht frei   
 Dessert a 0,80|  Fixer Rabatt/Aufschl. ;" Risotto ""Brunoise"" mit Bulgur und Putenbruststreifen    "
 Fixer Rabatt/Aufschl.|  Salat Port.  0,60 ;" Risotto ""Brunoise"" mit Bulgur und Putenbruststreifen    "
 Fixer Rabatt/Aufschl.|  O-Saft frisch ; Dessert a 1,60   
