Antecedent;Consequent
 Breze 0,65 | O-Saft frisch | Semmeln | WeiÃŸwurst Telle; Port. Butter Honig ec | Wiener Teller |
 Breze 0,65 | O-Saft frisch | Semmeln | Wiener Teller ; Port. Butter Honig ec    
 Breze 0,65 | O-Saft frisch | WeiÃŸwurst Teller | Wiener Telle; Port. Butter Honig ec | Semmeln |
 Breze 0,65 | O-Saft frisch | Port. Butter Honig ec | WeiÃŸwurst Telle; Semmeln | Wiener Teller |
 Breze 0,65 | O-Saft frisch | Port. Butter Honig ec | Semmeln | WeiÃŸwurst Telle; Wiener Teller    
 Breze 0,65 | O-Saft frisch | Port. Butter Honig ec | Semmeln | Wiener Teller ; WeiÃŸwurst Teller  
 Breze 0,65 | O-Saft frisch | Port. Butter Honig ec | WeiÃŸwurst Teller | Wiener Telle; Semmeln    
 Breze 0,65 | O-Saft frisch | Semmeln | WeiÃŸwurst Teller | Wiener Telle; Port. Butter Honig ec    
 Breze 0,65 | Port. Butter Honig ec | Semmeln | WeiÃŸwurst Teller | Wiener Telle; O-Saft frisch    
 O-Saft frisch | Port. Butter Honig ec | Semmeln | WeiÃŸwurst Teller | Wiener Telle; Breze 0,65    
 Semmeln | WeiÃŸwurst Telle; Breze 0,65 | Port. Butter Honig ec |
 Breze 0,65 | Semmeln | WeiÃŸwurst Telle; Port. Butter Honig ec    
 Port. Butter Honig ec | Semmeln | WeiÃŸwurst Telle; Breze 0,65    
 Port. Butter Honig ec | WeiÃŸwurst Telle; Breze 0,65    
 WÃ¤hrungsumstellung; Key/Card-Aufladung    
 BIO Molkerei 0,55 _ | Gericht frei ; O-Saft frisch    
 Gericht frei | O-Saft frisch ; BIO Molkerei 0,55 _    
 Gericht frei | Kornsemmel 0,40 ; Port. Butter Honig ec    
 BIO Back 0,45 | Gericht frei ; Port. Butter Honig ec    
 BIO-RÃ¼hrei | Gericht fre; BIO Back 0,45 | Port. Butter Honig ec |
 Gericht frei | Port. Butter Honig ec ; BIO Back 0,45    
 BIO Back 0,45 | BIO-RÃ¼hrei | Gericht fre; Port. Butter Honig ec    
 BIO-RÃ¼hrei | Gericht frei | Port. Butter Honig e; BIO Back 0,45    
 BIO-RÃ¼hrei | BIO-RÃ¼hrei | Gericht f; BIO Back 0,45 | Port. Butter Honig ec |
 BIO Back 0,45 | BIO-RÃ¼hrei | BIO-RÃ¼hrei | Gericht f; Port. Butter Honig ec    
 BIO-RÃ¼hrei | BIO-RÃ¼hrei | Gericht frei | Port. Butter Honig; BIO Back 0,45    
 BIO Back 0,45 | BIO Back 0,45 | Gericht frei ; Port. Butter Honig ec    
 BIO Molkerei 1,20 | PfÃ¤lze; BIO Back 0,45    
 BIO Molkerei 1,20 | BIO-RÃ¼hre; Breze 0,65    
 BIO Molkerei 1,20 | Marmelade 0,35 ; Port. Butter Honig ec | Semmeln |
 BIO Molkerei 1,20 | Semmeln ; Marmelade 0,35 | Port. Butter Honig ec |
 BIO Molkerei 1,20 | Port. Butter Honig ec ; Marmelade 0,35 | Semmeln |
 BIO Molkerei 1,20 | Marmelade 0,35 | Port. Butter Honig ec ; Semmeln    
 BIO Molkerei 1,20 | Marmelade 0,35 | Semmeln ; Port. Butter Honig ec    
 BIO Molkerei 1,20 | Port. Butter Honig ec | Semmeln ; Marmelade 0,35    
 BIO Molkerei 0,55 _ | BIO Molkerei 1,20 ; Obst 0,40    
 BIO Molkerei 1,20 | Backwaren Kuchen 1,30 ; O-Saft frisch    
 BIO Molkerei 1,20 | O-Saft frisch ; Backwaren Kuchen 1,30    
 O-Saft frisch | belegte Backw. 2,50 ; Obst 0,40 | Obstbecher 0,90 |
 Obstbecher 0,90 | belegte Backw. 2,50 ; O-Saft frisch | Obst 0,40 |
 O-Saft frisch | Obst 0,40 | belegte Backw. 2,50 ; Obstbecher 0,90    
 O-Saft frisch | Obstbecher 0,90 | belegte Backw. 2,50 ; Obst 0,40    
 Obst 0,40 | Obstbecher 0,90 | belegte Backw. 2,50 ; O-Saft frisch    
 BIO Frucht Buttermilch | Molkereiprodukte 0,65 ; Breze 0,65 | Port. Butter Honig ec | Semmeln |
 Molkereiprodukte 0,65 | Semmeln ; Breze 0,65 | Port. Butter Honig ec |
 BIO Frucht Buttermilch | Breze 0,65 | Molkereiprodukte 0,65 ; Port. Butter Honig ec | Semmeln |
 BIO Frucht Buttermilch | Breze 0,65 | Semmeln ; Port. Butter Honig ec    
 BIO Frucht Buttermilch | Molkereiprodukte 0,65 | Semmeln ; Breze 0,65 | Port. Butter Honig ec |
 Breze 0,65 | Molkereiprodukte 0,65 | Semmeln ; Port. Butter Honig ec    
 BIO Frucht Buttermilch | Molkereiprodukte 0,65 | Port. Butter Honig ec ; Breze 0,65 | Semmeln |
 BIO Frucht Buttermilch | Port. Butter Honig ec | Semmeln ; Breze 0,65    
 Molkereiprodukte 0,65 | Port. Butter Honig ec | Semmeln ; Breze 0,65    
