Antecedent;Consequent
 Obst 0,40|  Obstbecher 0,90|  Port. Butter Honig ec ; Kornsemmel 0,40   
 Breze 0,65|  O-Saft frisch|  Obst 0,40 ; Obstbecher 0,90   
 Breze 0,65|  Obst 0,40|  Obstbecher 0,90 ; O-Saft frisch   
 O-Saft frisch|  Obst 0,40|  Obstbecher 0,90 ; Breze 0,65   
 Klassik Semmel 0,30|  Leberkäse Semmel|  Obstbecher 0,90 ; Breze 0,65|  O-Saft frisch| 
 Klassik Semmel 0,30|  O-Saft frisch|  Obstbecher 0,90 ; Breze 0,65|  Leberkäse Semmel| 
 Leberkäse Semmel|  O-Saft frisch|  Obstbecher 0,90 ; Breze 0,65   
 Breze 0,65|  Klassik Semmel 0,30|  Leberkäse Semmel ; O-Saft frisch|  Obstbecher 0,90| 
 Breze 0,65|  Klassik Semmel 0,30|  Obstbecher 0,90 ; Leberkäse Semmel|  O-Saft frisch| 
 Breze 0,65|  Leberkäse Semmel|  Obstbecher 0,90 ; O-Saft frisch   
 Breze 0,65|  Klassik Semmel 0,30|  O-Saft frisch ; Leberkäse Semmel|  Obstbecher 0,90| 
 Breze 0,65|  Leberkäse Semmel|  O-Saft frisch ; Obstbecher 0,90   
 Breze 0,65|  Klassik Semmel 0,30|  Leberkäse Semmel|  O-Saft frisch ; Obstbecher 0,90   
 Breze 0,65|  Klassik Semmel 0,30|  Leberkäse Semmel|  Obstbecher 0,90 ; O-Saft frisch   
 Breze 0,65|  Klassik Semmel 0,30|  O-Saft frisch|  Obstbecher 0,90 ; Leberkäse Semmel   
 Breze 0,65|  Leberkäse Semmel|  O-Saft frisch|  Obstbecher 0,90 ; Klassik Semmel 0,30   
 Klassik Semmel 0,30|  Leberkäse Semmel|  O-Saft frisch|  Obstbecher 0,90 ; Breze 0,65   
 Müsli to go|  Obstbecher 0,90 ; belegte Backw. 1,70   
 Breze 0,65|  Müsli to go ; belegte Backw. 1,70   
 Kornsemmel 0,40|  belegte Backw. 1,70 ; Obstbecher 0,90|  Port. Butter Honig ec| 
 Port. Butter Honig ec|  belegte Backw. 1,70 ; Obstbecher 0,90   
 Kornsemmel 0,40|  Obstbecher 0,90|  belegte Backw. 1,70 ; Port. Butter Honig ec   
 Kornsemmel 0,40|  Port. Butter Honig ec|  belegte Backw. 1,70 ; Obstbecher 0,90   
 Obstbecher 0,90|  Port. Butter Honig ec|  belegte Backw. 1,70 ; Kornsemmel 0,40   
 Obstbecher 0,90|  Semmeln ; Leberkäse Semmel   
 Breze 0,65|  Semmeln ; Leberkäse Semmel   
 Leberkäse Semmel|  Leberkäse Semmel ; Semmeln   
 Leberkäse Semmel|  Leberkäse Semmel|  O-Saft frisch ; Semmeln   
